ExternalList	Size	ItemGroup	Size	Overlap	OddsRatio	Pvalue
ADaM_essential	92	lof_ch_genes	549	5	0.16	1.0e+00
ADaM_essential	92	lof_high_ch_genes	441	3	0.12	1.0e+00
ADaM_essential	92	lof_high_possible_no_ch_genes	1520	83	3.99	4.0e-06
ADaM_essential	92	lof_possible_no_ch_genes	1601	87	6.25	3.0e-07
ADaM_essential	92	rand_ch_genes	1792	77	1.03	5.3e-01
ADaM_essential	92	rand_possible_no_ch_genes	358	15	0.97	5.8e-01
gnomad_essential	130	lof_ch_genes	549	3	0.06	1.0e+00
gnomad_essential	130	lof_high_ch_genes	441	0	0.00	1.0e+00
gnomad_essential	130	lof_high_possible_no_ch_genes	1520	124	9.24	2.7e-13
gnomad_essential	130	lof_possible_no_ch_genes	1601	127	15.68	1.1e-13
gnomad_essential	130	rand_ch_genes	1792	115	1.57	6.3e-02
gnomad_essential	130	rand_possible_no_ch_genes	358	15	0.64	9.6e-01
gnomad_homozygous_tolerant	399	lof_ch_genes	549	171	2.72	2.5e-17
gnomad_homozygous_tolerant	399	lof_high_ch_genes	441	145	2.81	1.5e-16
gnomad_homozygous_tolerant	399	lof_high_possible_no_ch_genes	1520	223	0.44	1.0e+00
gnomad_homozygous_tolerant	399	lof_possible_no_ch_genes	1601	228	0.37	1.0e+00
gnomad_homozygous_tolerant	399	rand_ch_genes	1792	323	0.82	9.3e-01
gnomad_homozygous_tolerant	399	rand_possible_no_ch_genes	358	76	1.23	9.0e-02
gnomad_nonessential	95	lof_ch_genes	549	27	1.17	2.9e-01
gnomad_nonessential	95	lof_high_ch_genes	441	22	1.18	2.9e-01
gnomad_nonessential	95	lof_high_possible_no_ch_genes	1520	66	0.94	6.5e-01
gnomad_nonessential	95	lof_possible_no_ch_genes	1601	68	0.86	7.8e-01
gnomad_nonessential	95	rand_ch_genes	1792	76	0.79	8.5e-01
gnomad_nonessential	95	rand_possible_no_ch_genes	358	19	1.27	2.2e-01
hart2014_essential	25	lof_ch_genes	549	1	0.12	1.0e+00
hart2014_essential	25	lof_high_ch_genes	441	1	0.16	1.0e+00
hart2014_essential	25	lof_high_possible_no_ch_genes	1520	23	4.82	1.0e-02
hart2014_essential	25	lof_possible_no_ch_genes	1601	24	8.34	5.8e-03
hart2014_essential	25	rand_ch_genes	1792	23	2.31	1.9e-01
hart2014_essential	25	rand_possible_no_ch_genes	358	2	0.43	9.4e-01
hart2014_nonessential	76	lof_ch_genes	549	23	1.28	2.0e-01
hart2014_nonessential	76	lof_high_ch_genes	441	17	1.12	3.9e-01
hart2014_nonessential	76	lof_high_possible_no_ch_genes	1520	53	0.95	6.3e-01
hart2014_nonessential	76	lof_possible_no_ch_genes	1601	53	0.78	8.6e-01
hart2014_nonessential	76	rand_ch_genes	1792	65	1.19	3.7e-01
hart2014_nonessential	76	rand_possible_no_ch_genes	358	11	0.84	7.4e-01
hart2017_essential	59	lof_ch_genes	549	4	0.21	1.0e+00
hart2017_essential	59	lof_high_ch_genes	441	2	0.13	1.0e+00
hart2017_essential	59	lof_high_possible_no_ch_genes	1520	54	4.60	8.5e-05
hart2017_essential	59	lof_possible_no_ch_genes	1601	55	4.85	1.9e-04
hart2017_essential	59	rand_ch_genes	1792	54	2.19	5.5e-02
hart2017_essential	59	rand_possible_no_ch_genes	358	5	0.46	9.8e-01
mgi_essential	247	lof_ch_genes	549	37	0.48	1.0e+00
mgi_essential	247	lof_high_ch_genes	441	24	0.38	1.0e+00
mgi_essential	247	lof_high_possible_no_ch_genes	1520	196	1.68	7.2e-04
mgi_essential	247	lof_possible_no_ch_genes	1601	210	2.09	1.6e-05
mgi_essential	247	rand_ch_genes	1792	205	0.97	6.0e-01
mgi_essential	247	rand_possible_no_ch_genes	358	42	1.03	4.7e-01
