ExternalList	Size	ItemGroup	Size	Overlap	OddsRatio	Pvalue
ADaM_essential	92	beagle_ch_genes	671	15	0.42	1.0e+00
ADaM_essential	92	beagle_possible_no_ch_genes	1470	77	2.45	5.3e-04
ADaM_essential	92	lof_ch_genes	549	5	0.16	1.0e+00
ADaM_essential	92	lof_possible_no_ch_genes	1601	87	6.25	3.0e-07
ADaM_essential	92	rand_ch_genes	1792	77	1.03	5.3e-01
ADaM_essential	92	rand_possible_no_ch_genes	358	15	0.97	5.8e-01
gnomad_essential	130	beagle_ch_genes	671	9	0.15	1.0e+00
gnomad_essential	130	beagle_possible_no_ch_genes	1470	121	6.69	2.7e-12
gnomad_essential	130	lof_ch_genes	549	3	0.06	1.0e+00
gnomad_essential	130	lof_possible_no_ch_genes	1601	127	15.68	1.1e-13
gnomad_essential	130	rand_ch_genes	1792	115	1.57	6.3e-02
gnomad_essential	130	rand_possible_no_ch_genes	358	15	0.64	9.6e-01
gnomad_homozygous_tolerant	399	beagle_ch_genes	671	184	2.22	2.7e-12
gnomad_homozygous_tolerant	399	beagle_possible_no_ch_genes	1470	212	0.44	1.0e+00
gnomad_homozygous_tolerant	399	lof_ch_genes	549	171	2.72	2.5e-17
gnomad_homozygous_tolerant	399	lof_possible_no_ch_genes	1601	228	0.37	1.0e+00
gnomad_homozygous_tolerant	399	rand_ch_genes	1792	323	0.82	9.3e-01
gnomad_homozygous_tolerant	399	rand_possible_no_ch_genes	358	76	1.23	9.0e-02
gnomad_nonessential	95	beagle_ch_genes	671	36	1.36	9.4e-02
gnomad_nonessential	95	beagle_possible_no_ch_genes	1470	58	0.71	9.5e-01
gnomad_nonessential	95	lof_ch_genes	549	27	1.17	2.9e-01
gnomad_nonessential	95	lof_possible_no_ch_genes	1601	68	0.86	7.8e-01
gnomad_nonessential	95	rand_ch_genes	1792	76	0.79	8.5e-01
gnomad_nonessential	95	rand_possible_no_ch_genes	358	19	1.27	2.2e-01
hart2014_essential	25	beagle_ch_genes	671	3	0.30	9.9e-01
hart2014_essential	25	beagle_possible_no_ch_genes	1470	22	3.43	2.2e-02
hart2014_essential	25	lof_ch_genes	549	1	0.12	1.0e+00
hart2014_essential	25	lof_possible_no_ch_genes	1601	24	8.34	5.8e-03
hart2014_essential	25	rand_ch_genes	1792	23	2.31	1.9e-01
hart2014_essential	25	rand_possible_no_ch_genes	358	2	0.43	9.4e-01
hart2014_nonessential	76	beagle_ch_genes	671	24	1.02	5.2e-01
hart2014_nonessential	76	beagle_possible_no_ch_genes	1470	52	1.00	5.5e-01
hart2014_nonessential	76	lof_ch_genes	549	23	1.28	2.0e-01
hart2014_nonessential	76	lof_possible_no_ch_genes	1601	53	0.78	8.6e-01
hart2014_nonessential	76	rand_ch_genes	1792	65	1.19	3.7e-01
hart2014_nonessential	76	rand_possible_no_ch_genes	358	11	0.84	7.4e-01
hart2017_essential	59	beagle_ch_genes	671	7	0.29	1.0e+00
hart2017_essential	59	beagle_possible_no_ch_genes	1470	52	3.53	3.3e-04
hart2017_essential	59	lof_ch_genes	549	4	0.21	1.0e+00
hart2017_essential	59	lof_possible_no_ch_genes	1601	55	4.85	1.9e-04
hart2017_essential	59	rand_ch_genes	1792	54	2.19	5.5e-02
hart2017_essential	59	rand_possible_no_ch_genes	358	5	0.46	9.8e-01
mgi_essential	247	beagle_ch_genes	671	55	0.60	1.0e+00
mgi_essential	247	beagle_possible_no_ch_genes	1470	191	1.66	6.4e-04
mgi_essential	247	lof_ch_genes	549	37	0.48	1.0e+00
mgi_essential	247	lof_possible_no_ch_genes	1601	210	2.09	1.6e-05
mgi_essential	247	rand_ch_genes	1792	205	0.97	6.0e-01
mgi_essential	247	rand_possible_no_ch_genes	358	42	1.03	4.7e-01
