ExternalList	Size	ItemGroup	Size	Overlap	OddsRatio	Pvalue
ADaM_essential	995	lof_ch_genes	549	5	0.15	1.0e+00
ADaM_essential	995	lof_possible_no_ch_genes	1601	87	0.96	6.5e-01
ADaM_essential	995	mis_ch_genes	12877	628	0.62	1.0e+00
ADaM_essential	995	mis_possible_no_ch_genes	1457	90	1.11	1.9e-01
ADaM_essential	995	syn_ch_genes	8617	462	0.91	9.4e-01
ADaM_essential	995	syn_possible_no_ch_genes	1199	55	0.79	9.6e-01
gnomad_essential	1664	lof_ch_genes	549	3	0.05	1.0e+00
gnomad_essential	1664	lof_possible_no_ch_genes	1601	127	0.82	9.9e-01
gnomad_essential	1664	mis_ch_genes	12877	1309	1.42	5.7e-09
gnomad_essential	1664	mis_possible_no_ch_genes	1457	100	0.69	1.0e+00
gnomad_essential	1664	syn_ch_genes	8617	1208	3.08	9.6e-96
gnomad_essential	1664	syn_possible_no_ch_genes	1199	80	0.67	1.0e+00
gnomad_homozygous_tolerant	1624	lof_ch_genes	549	171	4.88	1.6e-49
gnomad_homozygous_tolerant	1624	lof_possible_no_ch_genes	1601	228	1.75	3.2e-12
gnomad_homozygous_tolerant	1624	mis_ch_genes	12877	1385	2.30	4.7e-36
gnomad_homozygous_tolerant	1624	mis_possible_no_ch_genes	1457	93	0.65	1.0e+00
gnomad_homozygous_tolerant	1624	syn_ch_genes	8617	895	1.32	4.1e-08
gnomad_homozygous_tolerant	1624	syn_possible_no_ch_genes	1199	112	1.02	4.4e-01
gnomad_nonessential	1132	lof_ch_genes	549	27	0.75	9.4e-01
gnomad_nonessential	1132	lof_possible_no_ch_genes	1601	68	0.63	1.0e+00
gnomad_nonessential	1132	mis_ch_genes	12877	655	0.49	1.0e+00
gnomad_nonessential	1132	mis_possible_no_ch_genes	1457	125	1.42	4.0e-04
gnomad_nonessential	1132	syn_ch_genes	8617	304	0.36	1.0e+00
gnomad_nonessential	1132	syn_possible_no_ch_genes	1199	87	1.16	1.2e-01
hart2014_essential	302	lof_ch_genes	549	1	0.10	1.0e+00
hart2014_essential	302	lof_possible_no_ch_genes	1601	24	0.86	7.8e-01
hart2014_essential	302	mis_ch_genes	12877	170	0.47	1.0e+00
hart2014_essential	302	mis_possible_no_ch_genes	1457	27	1.09	3.6e-01
hart2014_essential	302	syn_ch_genes	8617	145	0.97	6.2e-01
hart2014_essential	302	syn_possible_no_ch_genes	1199	20	0.97	5.8e-01
hart2014_nonessential	653	lof_ch_genes	549	23	1.15	3.0e-01
hart2014_nonessential	653	lof_possible_no_ch_genes	1601	53	0.88	8.2e-01
hart2014_nonessential	653	mis_ch_genes	12877	505	1.28	4.3e-03
hart2014_nonessential	653	mis_possible_no_ch_genes	1457	53	0.98	5.7e-01
hart2014_nonessential	653	syn_ch_genes	8617	282	0.79	1.0e+00
hart2014_nonessential	653	syn_possible_no_ch_genes	1199	57	1.33	3.0e-02
hart2017_essential	610	lof_ch_genes	549	4	0.20	1.0e+00
hart2017_essential	610	lof_possible_no_ch_genes	1601	55	1.00	5.4e-01
hart2017_essential	610	mis_ch_genes	12877	381	0.61	1.0e+00
hart2017_essential	610	mis_possible_no_ch_genes	1457	55	1.11	2.6e-01
hart2017_essential	610	syn_ch_genes	8617	273	0.85	9.8e-01
hart2017_essential	610	syn_possible_no_ch_genes	1199	31	0.73	9.7e-01
mgi_essential	2315	lof_ch_genes	549	37	0.47	1.0e+00
mgi_essential	2315	lof_possible_no_ch_genes	1601	210	1.00	5.0e-01
mgi_essential	2315	mis_ch_genes	12877	1735	1.13	7.4e-03
mgi_essential	2315	mis_possible_no_ch_genes	1457	180	0.93	8.2e-01
mgi_essential	2315	syn_ch_genes	8617	1405	1.75	2.5e-35
mgi_essential	2315	syn_possible_no_ch_genes	1199	131	0.80	9.9e-01
