gene	geneName	numCH	num2mut	totalVars	expectedCH	mgi_essential	gnomad_essential	adam_essential	hart2014_essential	hart2017_essential	hart2014_nonessential	gnomad_tolerant	gnomad_nonessential
ENSG00000000457	SCYL3	2	6	331	3	0	0	0	0	0	0	0	0
ENSG00000000460	C1orf112	4	4	345	2	0	0	0	0	0	0	0	0
ENSG00000000938	FGR	5	5	228	2.5	0	0	0	0	0	0	0	0
ENSG00000000971	CFH	17	40	593	20	0	0	0	0	0	0	0	0
ENSG00000001460	STPG1	1	1	170	0.5	0	0	0	0	0	0	1	0
ENSG00000001461	NIPAL3	2	6	208	3	0	0	0	0	0	0	0	0
ENSG00000004455	AK2	2	10	124	5	0	0	0	0	0	0	0	0
ENSG00000004487	KDM1A	1	1	314	0.5	1	0	0	0	0	0	0	0
ENSG00000006555	TTC22	4	11	320	5.5	0	0	0	0	0	0	1	0
ENSG00000007341	ST7L	7	11	221	5.5	0	0	0	0	0	0	1	0
ENSG00000007908	SELE	5	6	311	3	0	0	0	0	0	0	0	0
ENSG00000007923	DNAJC11	4	11	247	5.5	0	1	0	0	0	0	0	0
ENSG00000007933	FMO3	5	6	284	3	0	0	0	0	0	0	0	0
ENSG00000007968	E2F2	2	15	210	7.5	0	0	0	0	0	0	0	0
ENSG00000008118	CAMK1G	2	11	211	5.5	0	0	0	0	0	0	0	0
ENSG00000008128	CDK11A	9	14	330	7	0	0	0	0	0	0	1	0
ENSG00000008130	NADK	3	32	310	16	0	0	0	0	0	0	0	0
ENSG00000009307	CSDE1	4	5	295	2.5	0	1	0	0	0	0	0	0
ENSG00000009709	PAX7	4	21	262	10.5	1	0	0	0	0	0	0	0
ENSG00000009724	MASP2	10	44	427	23.3125	0	0	0	0	0	0	1	0
ENSG00000009780	FAM76A	0	0	113	0	0	0	0	0	0	0	0	0
ENSG00000009790	TRAF3IP3	5	6	241	3	0	0	0	0	0	0	0	0
ENSG00000010072	SPRTN	2	6	214	3	0	0	1	0	0	0	0	0
ENSG00000010165	EEF1AKNMT	8	19	376	9.5	0	0	0	0	0	0	0	0
ENSG00000010803	SCMH1	7	35	283	17.5	0	0	0	0	0	0	0	0
ENSG00000010932	FMO1	1	5	278	2.5	0	0	0	0	0	0	0	0
ENSG00000011007	ELOA	18	48	360	24	0	0	0	0	0	0	0	0
ENSG00000011009	LYPLA2	0	0	95	0	0	0	0	0	0	0	0	0
ENSG00000011021	CLCN6	6	11	461	5.5	0	0	0	0	0	0	0	0
ENSG00000014914	MTMR11	7	11	327	5.5	0	0	0	0	0	0	0	0
ENSG00000016490	CLCA1	8	33	444	16.5	0	0	0	0	0	1	0	1
ENSG00000016602	CLCA4	23	202	472	101.75	0	0	0	0	0	0	0	0
ENSG00000018625	ATP1A2	6	11	386	5.5	1	0	0	0	0	0	0	0
ENSG00000020129	NCDN	4	4	309	2	1	1	0	0	0	0	0	0
ENSG00000020633	RUNX3	1	6	241	3	1	0	0	0	0	0	0	0
ENSG00000021852	C8B	10	15	355	7.5	0	0	0	0	0	1	0	1
ENSG00000023572	GLRX2	1	4	82	2	0	0	0	0	0	0	0	0
ENSG00000023902	PLEKHO1	1	1	233	0.5	0	0	0	0	0	0	0	0
ENSG00000023909	GCLM	2	2	94	1	0	1	0	0	0	0	0	0
ENSG00000024526	DEPDC1	5	10	376	5	0	0	0	0	0	0	0	0
ENSG00000025800	KPNA6	0	0	162	0	0	1	0	0	0	0	0	0
ENSG00000026751	SLAMF7	4	6	168	3	0	0	0	0	0	0	0	0
ENSG00000027644	INSRR	67	119	758	63	0	0	0	0	0	1	0	1
ENSG00000027869	SH2D2A	2	2	213	1	0	0	0	0	0	0	0	0
ENSG00000028137	TNFRSF1B	0	10	241	5	0	0	0	0	0	0	0	0
ENSG00000031698	SARS1	1	1	193	0.5	0	0	1	0	0	0	0	0
ENSG00000033122	LRRC7	0	0	68	0	0	1	0	0	0	0	0	0
ENSG00000034971	MYOC	9	46	247	23.25	0	0	0	0	0	0	1	0
ENSG00000035687	ADSS2	1	2	148	1	0	0	0	0	0	0	0	0
ENSG00000036549	ZZZ3	5	6	342	3	0	1	0	0	0	0	0	0
ENSG00000037637	FBXO42	1	6	315	3.75	0	0	0	0	0	0	0	0
ENSG00000040487	SLC66A1	2	2	157	1	0	0	0	0	0	0	0	0
ENSG00000041988	THAP3	1	2	153	1	0	0	0	0	0	0	0	0
ENSG00000042781	USH2A	221	764	1666	384.75	0	0	0	0	0	0	1	0
ENSG00000043514	TRIT1	3	3	240	1.5	0	0	0	0	0	0	0	0
ENSG00000044012	GUCA2B	0	0	59	0	0	0	0	0	0	0	0	0
ENSG00000047410	TPR	43	79	969	39.75	0	1	1	1	0	0	0	0
ENSG00000048707	VPS13D	240	394	2075	202.125	1	0	0	0	0	0	0	0
ENSG00000049089	COL9A2	9	14	381	7	0	0	0	0	0	0	0	0
ENSG00000049239	H6PD	67	379	505	190.75	0	0	0	0	0	0	0	0
ENSG00000049245	VAMP3	0	1	58	0.5	0	0	0	0	0	0	0	0
ENSG00000049246	PER3	44	161	685	80.75	0	0	0	0	0	0	0	0
ENSG00000049247	UTS2	2	2	74	1	0	0	0	0	0	0	0	0
ENSG00000049249	TNFRSF9	0	1	131	0.5	0	0	0	0	0	0	0	0
ENSG00000050628	PTGER3	0	0	47	0	0	0	0	0	0	0	0	0
ENSG00000052723	SIKE1	0	0	95	0	0	0	0	0	0	0	0	0
ENSG00000053371	AKR7A2	8	29	249	14.5	0	0	0	0	0	0	0	0
ENSG00000053372	MRTO4	1	2	137	1	0	1	1	0	0	0	0	0
ENSG00000054116	TRAPPC3	0	23	75	11.5	0	0	1	0	1	0	0	0
ENSG00000054118	THRAP3	15	26	521	13.25	0	1	0	0	0	0	0	0
ENSG00000054267	ARID4B	13	18	501	9	1	1	0	0	0	0	0	0
ENSG00000054277	OPN3	0	0	209	0	0	0	0	0	0	0	0	0
ENSG00000054282	SDCCAG8	5	7	332	3.5	0	0	0	0	0	0	0	0
ENSG00000054392	HHAT	8	13	254	6.5	1	0	0	0	0	0	0	0
ENSG00000054523	KIF1B	20	34	676	18	1	1	0	0	0	0	0	0
ENSG00000055070	SZRD1	0	0	89	0	0	0	0	0	0	0	0	0
ENSG00000055732	MCOLN3	2	2	224	1	1	0	0	0	0	0	1	0
ENSG00000057252	SOAT1	2	4	264	2	0	0	0	0	0	0	0	0
ENSG00000057468	MSH4	4	59	398	29.5	0	0	0	0	0	0	0	0
ENSG00000057757	PITHD1	0	13	95	6.5	0	0	0	0	0	0	0	0
ENSG00000058085	LAMC2	19	83	615	41.5	1	0	0	0	0	0	0	0
ENSG00000058453	CROCC	358	1139	1255	589.875	0	0	0	0	0	0	0	0
ENSG00000058668	ATP2B4	7	13	350	6.5	0	0	0	0	0	0	0	0
ENSG00000058673	ZC3H11A	5	15	351	7.5	0	1	0	0	0	0	0	0
ENSG00000058799	YIPF1	2	2	138	1	0	0	0	0	0	0	0	0
ENSG00000058804	NDC1	6	10	300	5	0	1	0	0	0	0	0	0
ENSG00000059588	TARBP1	51	168	863	95.375	0	0	0	0	0	0	1	0
ENSG00000060642	PIGV	3	22	238	11	0	0	0	0	0	0	0	0
ENSG00000060656	PTPRU	36	44	710	22	0	0	0	0	0	0	0	0
ENSG00000060688	SNRNP40	2	4	173	2	0	0	0	0	0	0	0	0
ENSG00000060718	COL11A1	15	37	532	18.5	1	1	0	0	0	0	0	0
ENSG00000064703	DDX20	9	37	397	18.75	1	0	1	0	1	0	0	0
ENSG00000064886	CHI3L2	4	4	211	2	0	0	0	0	0	0	1	0
ENSG00000065135	GNAI3	1	5	145	2.5	0	0	0	0	0	0	0	0
ENSG00000065183	WDR3	5	35	419	17.5	0	0	1	0	1	0	0	0
ENSG00000065243	PKN2	2	8	333	4	0	1	0	0	0	0	0	0
ENSG00000065526	SPEN	268	507	1695	256.25	1	1	0	0	0	0	0	0
ENSG00000065600	PACC1	2	2	213	1	0	0	0	0	0	0	0	0
ENSG00000065978	YBX1	1	1	216	0.5	1	0	1	0	0	0	0	0
ENSG00000066027	PPP2R5A	1	1	180	0.5	0	0	0	0	0	0	0	0
ENSG00000066056	TIE1	38	64	642	32	1	0	0	0	0	0	0	0
ENSG00000066135	KDM4A	5	697	412	521.25	0	1	0	0	0	0	0	0
ENSG00000066136	NFYC	0	2	181	1	0	0	1	0	0	0	0	0
ENSG00000066185	ZMYND12	1	3	178	1.5	0	0	0	0	0	0	0	0
ENSG00000066279	ASPM	190	452	1736	259.03125	0	0	0	0	0	0	0	0
ENSG00000066294	CD84	5	21	174	10.5	0	0	0	0	0	0	0	0
ENSG00000066322	ELOVL1	1	1	119	0.5	0	0	0	0	0	0	0	0
ENSG00000066557	LRRC40	8	22	257	11	0	0	0	0	0	0	0	0
ENSG00000067208	EVI5	10	25	356	12.5	0	0	0	0	0	0	1	0
ENSG00000067334	DNTTIP2	2	49	338	24.5	0	0	0	1	0	0	0	0
ENSG00000067533	RRP15	1	17	152	8.5	0	0	1	0	0	0	0	0
ENSG00000067606	PRKCZ	1	9	282	4.75	0	0	0	0	0	0	0	0
ENSG00000067704	IARS2	7	16	471	8	0	0	1	1	0	0	0	0
ENSG00000069248	NUP133	29	85	521	42.5	1	0	1	1	1	0	0	0
ENSG00000069275	NUCKS1	2	2	97	1	0	0	0	0	0	0	0	0
ENSG00000069424	KCNAB2	1	3	181	1.5	0	0	0	0	0	0	0	0
ENSG00000069702	TGFBR3	3	4	337	2	1	0	0	0	0	0	1	0
ENSG00000069812	HES2	0	0	117	0	0	0	0	0	0	0	0	0
ENSG00000070759	TESK2	5	43	302	21.75	0	0	0	0	0	0	0	0
ENSG00000070785	EIF2B3	3	11	200	5.5	0	0	1	1	1	0	0	0
ENSG00000070831	CDC42	0	0	32	0	1	0	1	0	0	0	0	0
ENSG00000070886	EPHA8	31	103	620	51.75	0	0	0	0	0	0	0	0
ENSG00000072694	FCGR2B	2	11	124	5.5	0	0	0	0	0	0	0	0
ENSG00000073754	CD5L	3	23	184	11.5	0	0	0	0	0	0	1	0
ENSG00000073756	PTGS2	1	4	240	2	1	1	0	0	0	0	0	0
ENSG00000074800	ENO1	2	4	189	2.25	1	0	0	0	0	0	0	0
ENSG00000074964	ARHGEF10L	45	126	697	63.25	0	0	0	0	0	0	0	0
ENSG00000075151	EIF4G3	16	33	656	16.5	0	1	0	0	0	0	0	0
ENSG00000075391	RASAL2	14	34	594	17	0	0	0	0	0	0	0	0
ENSG00000075945	KIFAP3	0	6	154	3	1	0	0	0	0	0	0	0
ENSG00000076258	FMO4	9	29	270	16.625	0	0	0	0	0	0	1	0
ENSG00000076321	KLHL20	1	1	193	0.5	0	0	0	0	0	0	0	0
ENSG00000076356	PLXNA2	54	77	967	38.5	0	0	0	0	0	0	0	0
ENSG00000076864	RAP1GAP	10	25	362	12.5	0	0	0	0	0	0	0	0
ENSG00000077152	UBE2T	1	1	73	0.5	0	0	0	0	0	0	0	0
ENSG00000077157	PPP1R12B	12	35	494	23.875	0	0	0	0	0	0	0	0
ENSG00000077254	USP33	2	2	362	1	0	0	0	0	0	0	0	0
ENSG00000077522	ACTN2	6	9	370	4.5	0	1	0	0	0	0	0	0
ENSG00000077549	CAPZB	0	0	96	0	0	0	1	0	0	0	0	0
ENSG00000077585	GPR137B	1	1	214	0.5	0	0	0	0	0	0	0	0
ENSG00000078369	GNB1	0	0	83	0	1	1	0	0	0	0	0	0
ENSG00000078618	NRDC	12	20	483	10	0	0	0	0	0	0	0	0
ENSG00000078808	SDF4	2	2	222	1	0	0	0	0	0	0	0	0
ENSG00000078900	TP73	7	90	364	45.25	1	1	0	0	0	0	0	0
ENSG00000079277	MKNK1	4	4	217	2	0	0	0	0	0	0	0	0
ENSG00000079335	CDC14A	1	3	296	1.5	0	0	0	0	0	0	0	0
ENSG00000079739	PGM1	4	5	254	2.5	0	0	0	0	0	0	0	0
ENSG00000080910	CFHR2	0	61	136	30.5	0	0	0	0	0	1	1	1
ENSG00000081019	RSBN1	5	7	351	3.5	0	0	0	0	0	0	0	0
ENSG00000081026	MAGI3	22	51	690	25.75	0	0	0	0	0	0	0	0
ENSG00000081237	PTPRC	22	31	582	15.5	1	1	0	0	0	0	0	0
ENSG00000081248	CACNA1S	90	130	1061	66	1	0	0	0	0	0	0	0
ENSG00000081277	PKP1	23	46	423	23	0	0	0	0	0	0	0	0
ENSG00000081692	JMJD4	12	124	299	62	0	0	0	0	0	0	0	0
ENSG00000081721	DUSP12	2	22	164	11	0	0	0	0	0	0	0	0
ENSG00000081870	HSPB11	0	0	53	0	0	0	0	1	0	0	0	0
ENSG00000081985	IL12RB2	9	76	362	38.25	0	0	0	0	0	0	0	0
ENSG00000082482	KCNK2	0	18	125	9	0	0	0	0	0	0	0	0
ENSG00000082497	SERTAD4	4	7	157	3.5	0	0	0	0	0	0	0	0
ENSG00000082512	TRAF5	5	16	236	8	0	0	0	0	0	0	1	0
ENSG00000083444	PLOD1	10	17	408	8.5	0	0	0	0	0	0	0	0
ENSG00000084070	SMAP2	1	7	162	3.5	0	0	0	0	0	0	0	0
ENSG00000084072	PPIE	0	100	158	50	0	0	0	1	0	0	0	0
ENSG00000084073	ZMPSTE24	2	7	205	4.5	1	0	0	0	0	0	0	0
ENSG00000084623	EIF3I	0	0	144	0	0	0	1	1	1	0	0	0
ENSG00000084628	NKAIN1	2	4	90	2	0	0	0	0	0	0	0	0
ENSG00000084636	COL16A1	67	319	858	162.5	0	0	0	0	0	0	1	0
ENSG00000084652	TXLNA	7	9	268	4.5	0	1	0	0	0	0	0	0
ENSG00000085433	WDR47	1	5	158	2.5	0	0	0	0	0	0	0	0
ENSG00000085465	OVGP1	8	17	371	8.5	0	0	0	0	0	0	0	0
ENSG00000085491	SLC25A24	2	21	217	10.5	0	0	0	0	0	0	0	0
ENSG00000085552	IGSF9	29	116	650	58.25	0	0	0	0	0	0	0	0
ENSG00000085831	TTC39A	4	14	248	7	0	0	0	0	0	0	0	0
ENSG00000085832	EPS15	7	37	414	18.5	0	0	0	0	0	0	0	0
ENSG00000085840	ORC1	10	14	434	7	0	0	1	0	0	0	0	0
ENSG00000085998	POMGNT1	5	7	335	3.5	1	0	0	0	0	0	0	0
ENSG00000085999	RAD54L	11	30	383	15	0	0	0	0	0	0	1	0
ENSG00000086015	MAST2	0	0	91	0	0	0	0	0	0	0	1	0
ENSG00000086619	ERO1B	2	6	213	3	0	0	0	0	0	0	0	0
ENSG00000088035	ALG6	0	2	206	1	0	0	0	0	0	0	0	0
ENSG00000088280	ASAP3	22	117	448	58.75	0	0	0	0	0	0	0	0
ENSG00000090020	SLC9A1	4	6	333	3	1	0	0	0	0	0	0	0
ENSG00000090104	RGS1	0	1	99	0.5	0	0	0	0	0	0	0	0
ENSG00000090273	NUDC	0	1	162	0.5	0	0	1	0	1	0	0	0
ENSG00000090432	MUL1	0	0	192	0	0	0	0	0	0	0	0	0
ENSG00000090621	PABPC4	1	4	292	2	0	1	0	0	0	0	0	0
ENSG00000090686	USP48	10	108	374	54	0	1	0	0	0	0	0	0
ENSG00000091483	FH	4	13	232	6.5	1	0	0	0	0	0	0	0
ENSG00000092607	TBX15	4	11	296	5.5	1	0	0	0	0	0	0	0
ENSG00000092621	PHGDH	9	13	274	6.5	1	0	0	0	0	0	0	0
ENSG00000092847	AGO1	0	0	261	0	0	1	0	0	0	0	0	0
ENSG00000092850	TEKT2	8	20	267	10	0	0	0	0	0	0	0	0
ENSG00000092853	CLSPN	23	133	572	66.75	0	0	0	0	0	0	1	0
ENSG00000092969	TGFB2	3	11	171	5.5	1	1	0	0	0	0	0	0
ENSG00000092978	GPATCH2	5	36	240	18	0	0	0	0	0	0	0	0
ENSG00000094963	FMO2	5	15	260	7.5	0	0	0	0	0	0	1	0
ENSG00000094975	SUCO	28	682	654	341.5	0	0	0	0	0	0	1	0
ENSG00000097021	ACOT7	3	3	167	1.5	0	0	0	0	0	0	0	0
ENSG00000097033	SH3GLB1	0	1	147	0.5	0	1	0	0	0	0	0	0
ENSG00000097046	CDC7	4	28	258	14	1	0	1	0	0	0	0	0
ENSG00000097096	SYDE2	19	107	523	53.75	0	0	0	0	0	0	1	0
ENSG00000099260	PALMD	5	18	272	9	0	0	0	0	0	0	0	0
ENSG00000107404	DVL1	38	65	606	32.5	0	0	0	0	0	0	0	0
ENSG00000116128	BCL9	28	84	770	42.25	0	0	0	0	0	0	0	0
ENSG00000116132	PRRX1	1	55	126	27.5	1	0	0	0	0	0	0	0
ENSG00000116133	DHCR24	1	7	262	3.5	1	0	0	0	0	0	0	0
ENSG00000116138	DNAJC16	7	13	362	6.5	0	0	0	0	0	0	0	0
ENSG00000116141	MARK1	8	14	297	7	0	0	0	0	0	0	0	0
ENSG00000116147	TNR	41	174	681	87.5	0	0	0	0	0	1	0	1
ENSG00000116151	MORN1	13	31	366	15.5	0	0	0	0	0	0	0	0
ENSG00000116157	GPX7	0	0	100	0	0	0	0	0	0	0	1	0
ENSG00000116161	CACYBP	0	0	79	0	0	0	0	0	0	0	0	0
ENSG00000116171	SCP2	0	0	132	0	0	0	0	0	0	0	0	0
ENSG00000116183	PAPPA2	47	69	938	34.75	0	0	0	0	0	0	0	0
ENSG00000116191	RALGPS2	1	6	176	3	0	0	0	0	0	0	0	0
ENSG00000116194	ANGPTL1	6	7	249	3.5	0	0	0	0	0	0	0	0
ENSG00000116198	CEP104	23	246	474	123.25	0	0	0	0	0	0	0	0
ENSG00000116199	FAM20B	1	1	205	0.5	0	0	0	0	0	0	0	0
ENSG00000116205	TCEANC2	0	1	98	0.5	0	0	0	0	0	0	0	0
ENSG00000116209	TMEM59	2	2	134	1	0	0	0	0	0	0	0	0
ENSG00000116212	LRRC42	3	9	239	4.5	0	0	0	0	0	0	0	0
ENSG00000116213	WRAP73	2	4	285	2	0	0	0	0	0	0	0	0
ENSG00000116218	NPHS2	2	23	188	11.5	1	0	0	0	0	1	0	1
ENSG00000116221	MRPL37	10	158	297	79.25	0	0	0	0	0	0	0	0
ENSG00000116237	ICMT	1	4	118	2	1	0	0	0	0	0	0	0
ENSG00000116251	RPL22	0	2	41	1	0	0	0	0	0	0	0	0
ENSG00000116254	CHD5	44	196	889	98.75	0	1	0	0	0	0	0	0
ENSG00000116260	QSOX1	11	30	411	15	0	0	0	0	0	0	0	0
ENSG00000116266	STXBP3	2	2	228	1	1	0	0	0	0	0	0	0
ENSG00000116273	PHF13	2	2	144	1	0	1	0	0	0	0	0	0
ENSG00000116285	ERRFI1	0	5	218	2.5	1	0	0	0	0	0	0	0
ENSG00000116288	PARK7	1	2	110	1	0	0	0	0	0	0	0	0
ENSG00000116299	ELAPOR1	17	32	453	16	0	0	0	0	0	0	0	0
ENSG00000116329	OPRD1	0	1	205	0.5	0	0	0	0	0	0	0	0
ENSG00000116337	AMPD2	5	10	417	5	0	0	0	0	0	0	0	0
ENSG00000116350	SRSF4	1	50	290	25	0	0	0	0	0	0	0	0
ENSG00000116353	MECR	2	3	209	1.5	0	0	0	0	0	0	0	0
ENSG00000116396	KCNC4	5	25	375	12.5	0	0	0	0	0	0	0	0
ENSG00000116406	EDEM3	10	16	437	8.25	0	0	0	0	0	0	0	0
ENSG00000116455	WDR77	0	0	136	0	1	0	1	0	1	0	0	0
ENSG00000116459	ATP5PB	1	2	140	1	0	0	0	0	0	0	0	0
ENSG00000116473	RAP1A	0	1	60	0.5	1	0	0	0	0	0	0	0
ENSG00000116478	HDAC1	0	4	168	2	1	0	0	0	0	0	0	0
ENSG00000116489	CAPZA1	3	4	132	2	0	0	0	0	0	0	0	0
ENSG00000116497	S100PBP	5	5	210	2.5	0	0	0	0	0	0	0	0
ENSG00000116514	RNF19B	15	47	393	23.75	0	0	0	0	0	0	0	0
ENSG00000116521	SCAMP3	2	5	170	2.5	0	0	0	0	0	0	0	0
ENSG00000116525	TRIM62	10	19	267	9.5	0	0	0	0	0	0	0	0
