gene	geneName	numCH	num2mut	totalVars	expectedCH	mgi_essential	gnomad_essential	adam_essential	hart2014_essential	hart2017_essential	hart2014_nonessential	gnomad_tolerant	gnomad_nonessential
ENSG00000000457	SCYL3	2	4	331	2	0	0	0	0	0	0	0	0
ENSG00000000460	C1orf112	3	3	345	1.5	0	0	0	0	0	0	0	0
ENSG00000000938	FGR	5	5	228	2.5	0	0	0	0	0	0	0	0
ENSG00000000971	CFH	16	35	593	17.5	0	0	0	0	0	0	0	0
ENSG00000001460	STPG1	1	1	170	0.5	0	0	0	0	0	0	1	0
ENSG00000001461	NIPAL3	2	6	208	3	0	0	0	0	0	0	0	0
ENSG00000004455	AK2	2	9	124	4.5	0	0	0	0	0	0	0	0
ENSG00000004487	KDM1A	1	1	314	0.5	1	0	0	0	0	0	0	0
ENSG00000006555	TTC22	4	10	320	5	0	0	0	0	0	0	1	0
ENSG00000007341	ST7L	7	10	221	5	0	0	0	0	0	0	1	0
ENSG00000007908	SELE	5	5	311	2.5	0	0	0	0	0	0	0	0
ENSG00000007923	DNAJC11	4	9	247	4.5	0	1	0	0	0	0	0	0
ENSG00000007933	FMO3	5	6	284	3	0	0	0	0	0	0	0	0
ENSG00000007968	E2F2	2	14	210	7	0	0	0	0	0	0	0	0
ENSG00000008118	CAMK1G	2	10	211	5	0	0	0	0	0	0	0	0
ENSG00000008128	CDK11A	9	13	330	6.5	0	0	0	0	0	0	1	0
ENSG00000008130	NADK	3	32	310	16	0	0	0	0	0	0	0	0
ENSG00000009307	CSDE1	3	3	295	1.5	0	1	0	0	0	0	0	0
ENSG00000009709	PAX7	3	20	262	10	1	0	0	0	0	0	0	0
ENSG00000009724	MASP2	9	41	427	21.8125	0	0	0	0	0	0	1	0
ENSG00000009780	FAM76A	0	0	113	0	0	0	0	0	0	0	0	0
ENSG00000009790	TRAF3IP3	5	5	241	2.5	0	0	0	0	0	0	0	0
ENSG00000010072	SPRTN	2	6	214	3	0	0	1	0	0	0	0	0
ENSG00000010165	EEF1AKNMT	8	19	376	9.5	0	0	0	0	0	0	0	0
ENSG00000010803	SCMH1	5	33	283	16.5	0	0	0	0	0	0	0	0
ENSG00000010932	FMO1	1	5	278	2.5	0	0	0	0	0	0	0	0
ENSG00000011007	ELOA	17	46	360	23	0	0	0	0	0	0	0	0
ENSG00000011009	LYPLA2	0	0	95	0	0	0	0	0	0	0	0	0
ENSG00000011021	CLCN6	6	11	461	5.5	0	0	0	0	0	0	0	0
ENSG00000014914	MTMR11	7	11	327	5.5	0	0	0	0	0	0	0	0
ENSG00000016490	CLCA1	8	33	444	16.5	0	0	0	0	0	1	0	1
ENSG00000016602	CLCA4	22	193	472	97.25	0	0	0	0	0	0	0	0
ENSG00000018625	ATP1A2	6	10	386	5	1	0	0	0	0	0	0	0
ENSG00000020129	NCDN	3	3	309	1.5	1	1	0	0	0	0	0	0
ENSG00000020633	RUNX3	1	5	241	2.5	1	0	0	0	0	0	0	0
ENSG00000021852	C8B	10	15	355	7.5	0	0	0	0	0	1	0	1
ENSG00000023572	GLRX2	1	4	82	2	0	0	0	0	0	0	0	0
ENSG00000023902	PLEKHO1	1	1	233	0.5	0	0	0	0	0	0	0	0
ENSG00000023909	GCLM	2	2	94	1	0	1	0	0	0	0	0	0
ENSG00000024526	DEPDC1	5	9	376	4.5	0	0	0	0	0	0	0	0
ENSG00000025800	KPNA6	0	0	162	0	0	1	0	0	0	0	0	0
ENSG00000026751	SLAMF7	4	5	168	2.5	0	0	0	0	0	0	0	0
ENSG00000027644	INSRR	62	112	758	59.25	0	0	0	0	0	1	0	1
ENSG00000027869	SH2D2A	2	2	213	1	0	0	0	0	0	0	0	0
ENSG00000028137	TNFRSF1B	0	8	241	4	0	0	0	0	0	0	0	0
ENSG00000031698	SARS1	1	1	193	0.5	0	0	1	0	0	0	0	0
ENSG00000033122	LRRC7	0	0	68	0	0	1	0	0	0	0	0	0
ENSG00000034971	MYOC	7	43	247	21.75	0	0	0	0	0	0	1	0
ENSG00000035687	ADSS2	1	1	148	0.5	0	0	0	0	0	0	0	0
ENSG00000036549	ZZZ3	5	5	342	2.5	0	1	0	0	0	0	0	0
ENSG00000037637	FBXO42	0	3	315	2.25	0	0	0	0	0	0	0	0
ENSG00000040487	SLC66A1	1	1	157	0.5	0	0	0	0	0	0	0	0
ENSG00000041988	THAP3	1	2	153	1	0	0	0	0	0	0	0	0
ENSG00000042781	USH2A	214	748	1666	376.25	0	0	0	0	0	0	1	0
ENSG00000043514	TRIT1	3	3	240	1.5	0	0	0	0	0	0	0	0
ENSG00000044012	GUCA2B	0	0	59	0	0	0	0	0	0	0	0	0
ENSG00000047410	TPR	41	74	969	37.25	0	1	1	1	0	0	0	0
ENSG00000048707	VPS13D	224	363	2075	185.875	1	0	0	0	0	0	0	0
ENSG00000049089	COL9A2	9	13	381	6.5	0	0	0	0	0	0	0	0
ENSG00000049239	H6PD	67	376	505	189.25	0	0	0	0	0	0	0	0
ENSG00000049245	VAMP3	0	0	58	0	0	0	0	0	0	0	0	0
ENSG00000049246	PER3	43	156	685	78.25	0	0	0	0	0	0	0	0
ENSG00000049247	UTS2	2	2	74	1	0	0	0	0	0	0	0	0
ENSG00000049249	TNFRSF9	0	0	131	0	0	0	0	0	0	0	0	0
ENSG00000050628	PTGER3	0	0	47	0	0	0	0	0	0	0	0	0
ENSG00000052723	SIKE1	0	0	95	0	0	0	0	0	0	0	0	0
ENSG00000053371	AKR7A2	8	27	249	13.5	0	0	0	0	0	0	0	0
ENSG00000053372	MRTO4	1	1	137	0.5	0	1	1	0	0	0	0	0
ENSG00000054116	TRAPPC3	0	23	75	11.5	0	0	1	0	1	0	0	0
ENSG00000054118	THRAP3	13	21	521	10.5	0	1	0	0	0	0	0	0
ENSG00000054267	ARID4B	12	16	501	8	1	1	0	0	0	0	0	0
ENSG00000054277	OPN3	0	0	209	0	0	0	0	0	0	0	0	0
ENSG00000054282	SDCCAG8	5	7	332	3.5	0	0	0	0	0	0	0	0
ENSG00000054392	HHAT	8	13	254	6.5	1	0	0	0	0	0	0	0
ENSG00000054523	KIF1B	16	27	676	14.5	1	1	0	0	0	0	0	0
ENSG00000055070	SZRD1	0	0	89	0	0	0	0	0	0	0	0	0
ENSG00000055732	MCOLN3	2	2	224	1	1	0	0	0	0	0	1	0
ENSG00000057252	SOAT1	2	2	264	1	0	0	0	0	0	0	0	0
ENSG00000057468	MSH4	4	59	398	29.5	0	0	0	0	0	0	0	0
ENSG00000057757	PITHD1	0	13	95	6.5	0	0	0	0	0	0	0	0
ENSG00000058085	LAMC2	17	80	615	40	1	0	0	0	0	0	0	0
ENSG00000058453	CROCC	354	1131	1255	585.875	0	0	0	0	0	0	0	0
ENSG00000058668	ATP2B4	7	10	350	5	0	0	0	0	0	0	0	0
ENSG00000058673	ZC3H11A	5	15	351	7.5	0	1	0	0	0	0	0	0
ENSG00000058799	YIPF1	2	2	138	1	0	0	0	0	0	0	0	0
ENSG00000058804	NDC1	6	10	300	5	0	1	0	0	0	0	0	0
ENSG00000059588	TARBP1	49	156	863	89.375	0	0	0	0	0	0	1	0
ENSG00000060642	PIGV	3	21	238	10.5	0	0	0	0	0	0	0	0
ENSG00000060656	PTPRU	34	41	710	20.5	0	0	0	0	0	0	0	0
ENSG00000060688	SNRNP40	2	3	173	1.5	0	0	0	0	0	0	0	0
ENSG00000060718	COL11A1	14	32	532	16	1	1	0	0	0	0	0	0
ENSG00000064703	DDX20	9	35	397	17.75	1	0	1	0	1	0	0	0
ENSG00000064886	CHI3L2	4	4	211	2	0	0	0	0	0	0	1	0
ENSG00000065135	GNAI3	1	4	145	2	0	0	0	0	0	0	0	0
ENSG00000065183	WDR3	5	34	419	17	0	0	1	0	1	0	0	0
ENSG00000065243	PKN2	1	7	333	3.5	0	1	0	0	0	0	0	0
ENSG00000065526	SPEN	257	477	1695	241	1	1	0	0	0	0	0	0
